"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_name","go","ontology","Overlap"
"162","ENSBTAG00000018838",14.20503769,2.988257372,0.616613237,4.035361592,5.45e-05,0.006020567,"LOC504858","40S ribosomal protein S13-like",NA,NA,FALSE
"163","ENSBTAG00000007755",16.49894942,2.74207284,0.557623275,4.020766244,5.8e-05,0.006366771,"TFIP11","tuftelin interacting protein 11","GO:0000390","BP",FALSE
"164","ENSBTAG00000003403",10.31079214,4.120909727,0.907983117,3.98786019,6.67e-05,0.007272932,"DNAAF5","dynein axonemal assembly factor 5",NA,NA,FALSE
"165","ENSBTAG00000017391",1585.172864,-0.782444015,0.070988994,-3.978701447,6.93e-05,0.007513007,"RNF216","ring finger protein 216",NA,NA,FALSE
"166","ENSBTAG00000051191",4634.41723,0.933779375,0.109402769,3.96497619,7.34e-05,0.00791075,NA,NA,NA,NA,TRUE
"167","ENSBTAG00000021955",6791.948732,0.75365711,0.064195891,3.951298198,7.77e-05,0.008326713,"TFRC","transferrin receptor",NA,NA,FALSE
"168","ENSBTAG00000017298",578.7956052,0.885295513,0.097688107,3.944139431,8.01e-05,0.00847073,"EGR2","early growth response 2",NA,NA,FALSE
"169","ENSBTAG00000013537",171.0336263,1.099047248,0.151924877,3.943049079,8.05e-05,0.00847073,"FER1L6","fer-1 like family member 6",NA,NA,FALSE
"170","ENSBTAG00000040067",139.4408398,1.170876363,0.170146798,3.942926765,8.05e-05,0.00847073,"KRT85","keratin 85",NA,NA,FALSE
"171","ENSBTAG00000005333",166.0418065,1.098920925,0.152023797,3.939652453,8.16e-05,0.008507121,"LOC100299712","zinc finger protein 665",NA,NA,FALSE
"172","ENSBTAG00000014458",1533.305329,0.81188133,0.079175917,3.939093378,8.18e-05,0.008507121,"MROH1","maestro heat like repeat family member 1",NA,NA,FALSE
"173","ENSBTAG00000054738",68.91627929,1.464085927,0.246249573,3.915076537,9.04e-05,0.009345771,"MBD5","methyl-CpG binding domain protein 5",NA,NA,FALSE
"174","ENSBTAG00000004223",889.1340996,-0.874764796,0.096100387,-3.899722032,9.63e-05,0.009901517,"PHKB","phosphorylase kinase regulatory subunit beta",NA,NA,FALSE
